schedule_id,vessel_id,planned_berth_id,scheduled_arrival,expected_arrival,arrival_deviation_h,expected_handling_duration_h,expected_departure,priority,synthetic
00000000-0000-0000-0000-0000000007d0,00000000-0000-0000-0000-0000000003e8,00000000-0000-0000-0000-000000000068,2026-01-15T04:26:54.105919+00:00,2026-01-15T08:14:54.105919+00:00,3.8,5.6,2026-01-15T14:50:54.105919+00:00,critical,True
00000000-0000-0000-0000-0000000007d1,00000000-0000-0000-0000-0000000003e9,00000000-0000-0000-0000-000000000067,2026-01-15T07:15:43.993730+00:00,2026-01-15T07:15:43.993730+00:00,0.0,21.7,2026-01-16T05:57:43.993730+00:00,high,True
00000000-0000-0000-0000-0000000007d2,00000000-0000-0000-0000-0000000003ea,00000000-0000-0000-0000-000000000067,2026-01-15T08:11:26.999700+00:00,2026-01-15T14:47:26.999700+00:00,6.6,19.8,2026-01-16T11:35:26.999700+00:00,normal,True
00000000-0000-0000-0000-0000000007d3,00000000-0000-0000-0000-0000000003eb,00000000-0000-0000-0000-000000000067,2026-01-15T08:54:08.976723+00:00,2026-01-15T08:54:08.976723+00:00,0.0,13.1,2026-01-15T23:00:08.976723+00:00,normal,True
00000000-0000-0000-0000-0000000007d4,00000000-0000-0000-0000-0000000003ec,00000000-0000-0000-0000-000000000064,2026-01-15T10:21:13.311555+00:00,2026-01-15T10:21:13.311555+00:00,0.0,15.2,2026-01-16T02:33:13.311555+00:00,high,True
00000000-0000-0000-0000-0000000007d5,00000000-0000-0000-0000-0000000003ed,00000000-0000-0000-0000-000000000067,2026-01-15T12:51:06.286235+00:00,2026-01-15T12:15:06.286235+00:00,-0.6,21.8,2026-01-16T11:03:06.286235+00:00,high,True
00000000-0000-0000-0000-0000000007d6,00000000-0000-0000-0000-0000000003ee,00000000-0000-0000-0000-000000000065,2026-01-15T15:24:51.164192+00:00,2026-01-15T18:42:51.164192+00:00,3.3,4.2,2026-01-15T23:54:51.164192+00:00,low,True
00000000-0000-0000-0000-0000000007d7,00000000-0000-0000-0000-0000000003ef,00000000-0000-0000-0000-000000000067,2026-01-15T15:56:04.532254+00:00,2026-01-15T15:56:04.532254+00:00,0.0,20.7,2026-01-16T13:38:04.532254+00:00,high,True
00000000-0000-0000-0000-0000000007d8,00000000-0000-0000-0000-0000000003f0,00000000-0000-0000-0000-000000000067,2026-01-15T17:09:48.136266+00:00,2026-01-16T02:21:48.136266+00:00,9.2,15.2,2026-01-16T18:33:48.136266+00:00,normal,True
00000000-0000-0000-0000-0000000007d9,00000000-0000-0000-0000-0000000003f1,00000000-0000-0000-0000-000000000064,2026-01-15T18:29:56.218099+00:00,2026-01-15T21:41:56.218099+00:00,3.2,8.3,2026-01-16T06:59:56.218099+00:00,normal,True
00000000-0000-0000-0000-0000000007da,00000000-0000-0000-0000-0000000003f2,00000000-0000-0000-0000-000000000068,2026-01-15T19:49:35.331932+00:00,2026-01-15T19:49:35.331932+00:00,0.0,3.4,2026-01-16T00:13:35.331932+00:00,high,True
00000000-0000-0000-0000-0000000007db,00000000-0000-0000-0000-0000000003f3,00000000-0000-0000-0000-000000000067,2026-01-15T20:38:18.378012+00:00,2026-01-16T00:32:18.378012+00:00,3.9,13.4,2026-01-16T14:56:18.378012+00:00,high,True
00000000-0000-0000-0000-0000000007dc,00000000-0000-0000-0000-0000000003f4,00000000-0000-0000-0000-000000000065,2026-01-15T22:02:06.352407+00:00,2026-01-15T22:02:06.352407+00:00,0.0,10.0,2026-01-16T09:02:06.352407+00:00,normal,True
00000000-0000-0000-0000-0000000007dd,00000000-0000-0000-0000-0000000003f5,00000000-0000-0000-0000-000000000064,2026-01-15T23:18:27.283592+00:00,2026-01-16T09:42:27.283592+00:00,10.4,7.8,2026-01-16T18:30:27.283592+00:00,high,True
00000000-0000-0000-0000-0000000007de,00000000-0000-0000-0000-0000000003f6,00000000-0000-0000-0000-000000000067,2026-01-16T01:26:21.997991+00:00,2026-01-16T00:02:21.997991+00:00,-1.4,9.4,2026-01-16T10:26:21.997991+00:00,normal,True
00000000-0000-0000-0000-0000000007df,00000000-0000-0000-0000-0000000003f7,00000000-0000-0000-0000-000000000067,2026-01-16T02:35:13.153706+00:00,2026-01-16T00:53:13.153706+00:00,-1.7,4.7,2026-01-16T06:35:13.153706+00:00,high,True
00000000-0000-0000-0000-0000000007e0,00000000-0000-0000-0000-0000000003f8,00000000-0000-0000-0000-000000000067,2026-01-16T04:02:51.988948+00:00,2026-01-16T07:32:51.988948+00:00,3.5,21.4,2026-01-17T05:56:51.988948+00:00,normal,True
00000000-0000-0000-0000-0000000007e1,00000000-0000-0000-0000-0000000003f9,00000000-0000-0000-0000-000000000068,2026-01-16T05:16:53.652042+00:00,2026-01-16T12:40:53.652042+00:00,7.4,3.8,2026-01-16T17:28:53.652042+00:00,normal,True
00000000-0000-0000-0000-0000000007e2,00000000-0000-0000-0000-0000000003fa,00000000-0000-0000-0000-000000000067,2026-01-16T07:12:40.743198+00:00,2026-01-16T10:00:40.743198+00:00,2.8,8.8,2026-01-16T19:48:40.743198+00:00,normal,True
00000000-0000-0000-0000-0000000007e3,00000000-0000-0000-0000-0000000003fb,00000000-0000-0000-0000-000000000065,2026-01-16T09:52:22.006534+00:00,2026-01-16T09:10:22.006534+00:00,-0.7,4.2,2026-01-16T14:22:22.006534+00:00,critical,True
00000000-0000-0000-0000-0000000007e4,00000000-0000-0000-0000-0000000003fc,00000000-0000-0000-0000-000000000067,2026-01-16T12:00:44.923976+00:00,2026-01-16T14:00:44.923976+00:00,2.0,3.7,2026-01-16T18:42:44.923976+00:00,high,True
00000000-0000-0000-0000-0000000007e5,00000000-0000-0000-0000-0000000003fd,00000000-0000-0000-0000-000000000067,2026-01-16T13:22:34.170947+00:00,2026-01-16T13:22:34.170947+00:00,0.0,20.1,2026-01-17T10:28:34.170947+00:00,low,True
00000000-0000-0000-0000-0000000007e6,00000000-0000-0000-0000-0000000003fe,00000000-0000-0000-0000-000000000064,2026-01-16T14:45:23.322874+00:00,2026-01-16T16:33:23.322874+00:00,1.8,9.3,2026-01-17T02:51:23.322874+00:00,low,True
00000000-0000-0000-0000-0000000007e7,00000000-0000-0000-0000-0000000003ff,00000000-0000-0000-0000-000000000067,2026-01-16T16:08:18.929124+00:00,2026-01-16T16:08:18.929124+00:00,0.0,20.1,2026-01-17T13:14:18.929124+00:00,normal,True
00000000-0000-0000-0000-0000000007e8,00000000-0000-0000-0000-000000000400,00000000-0000-0000-0000-000000000067,2026-01-16T18:39:17.714629+00:00,2026-01-16T21:33:17.714629+00:00,2.9,4.6,2026-01-17T03:09:17.714629+00:00,critical,True
00000000-0000-0000-0000-0000000007e9,00000000-0000-0000-0000-000000000401,00000000-0000-0000-0000-000000000069,2026-01-16T19:10:19.790362+00:00,2026-01-16T19:10:19.790362+00:00,0.0,9.9,2026-01-17T06:04:19.790362+00:00,normal,True
00000000-0000-0000-0000-0000000007ea,00000000-0000-0000-0000-000000000402,00000000-0000-0000-0000-000000000067,2026-01-16T20:47:04.473779+00:00,2026-01-16T20:47:04.473779+00:00,0.0,20.7,2026-01-17T18:29:04.473779+00:00,normal,True
00000000-0000-0000-0000-0000000007eb,00000000-0000-0000-0000-000000000403,00000000-0000-0000-0000-000000000067,2026-01-16T22:28:19.527017+00:00,2026-01-17T08:28:19.527017+00:00,10.0,19.4,2026-01-18T04:52:19.527017+00:00,normal,True
00000000-0000-0000-0000-0000000007ec,00000000-0000-0000-0000-000000000404,00000000-0000-0000-0000-000000000064,2026-01-17T00:00:50.125291+00:00,2026-01-17T00:00:50.125291+00:00,0.0,14.8,2026-01-17T15:48:50.125291+00:00,high,True
00000000-0000-0000-0000-0000000007ed,00000000-0000-0000-0000-000000000405,00000000-0000-0000-0000-000000000065,2026-01-17T01:38:42.070488+00:00,2026-01-17T05:32:42.070488+00:00,3.9,9.8,2026-01-17T16:20:42.070488+00:00,critical,True
00000000-0000-0000-0000-0000000007ee,00000000-0000-0000-0000-000000000406,00000000-0000-0000-0000-000000000068,2026-01-17T02:53:01.047241+00:00,2026-01-17T02:53:01.047241+00:00,0.0,5.0,2026-01-17T08:53:01.047241+00:00,normal,True
00000000-0000-0000-0000-0000000007ef,00000000-0000-0000-0000-000000000407,00000000-0000-0000-0000-000000000064,2026-01-17T04:55:58.432698+00:00,2026-01-17T04:55:58.432698+00:00,0.0,9.1,2026-01-17T15:01:58.432698+00:00,high,True
00000000-0000-0000-0000-0000000007f0,00000000-0000-0000-0000-000000000408,00000000-0000-0000-0000-000000000067,2026-01-17T06:31:31.407234+00:00,2026-01-17T06:31:31.407234+00:00,0.0,21.3,2026-01-18T04:49:31.407234+00:00,high,True
00000000-0000-0000-0000-0000000007f1,00000000-0000-0000-0000-000000000409,00000000-0000-0000-0000-000000000064,2026-01-17T07:33:34.293555+00:00,2026-01-17T07:33:34.293555+00:00,0.0,14.2,2026-01-17T22:45:34.293555+00:00,critical,True
00000000-0000-0000-0000-0000000007f2,00000000-0000-0000-0000-00000000040a,00000000-0000-0000-0000-000000000067,2026-01-17T09:57:15.698784+00:00,2026-01-17T09:09:15.698784+00:00,-0.8,19.5,2026-01-18T05:39:15.698784+00:00,low,True
00000000-0000-0000-0000-0000000007f3,00000000-0000-0000-0000-00000000040b,00000000-0000-0000-0000-000000000067,2026-01-17T10:27:59.854236+00:00,2026-01-17T10:27:59.854236+00:00,0.0,5.7,2026-01-17T17:09:59.854236+00:00,high,True
00000000-0000-0000-0000-0000000007f4,00000000-0000-0000-0000-00000000040c,00000000-0000-0000-0000-000000000067,2026-01-17T11:09:03.563450+00:00,2026-01-17T10:33:03.563450+00:00,-0.6,4.5,2026-01-17T16:03:03.563450+00:00,low,True
00000000-0000-0000-0000-0000000007f5,00000000-0000-0000-0000-00000000040d,00000000-0000-0000-0000-000000000064,2026-01-17T11:42:58.799816+00:00,2026-01-17T11:42:58.799816+00:00,0.0,8.7,2026-01-17T21:24:58.799816+00:00,normal,True
00000000-0000-0000-0000-0000000007f6,00000000-0000-0000-0000-00000000040e,00000000-0000-0000-0000-000000000065,2026-01-17T13:01:38.911291+00:00,2026-01-17T18:49:38.911291+00:00,5.8,3.4,2026-01-17T23:13:38.911291+00:00,normal,True
00000000-0000-0000-0000-0000000007f7,00000000-0000-0000-0000-00000000040f,00000000-0000-0000-0000-000000000064,2026-01-17T14:17:30.907694+00:00,2026-01-17T17:41:30.907694+00:00,3.4,14.4,2026-01-18T09:05:30.907694+00:00,high,True
00000000-0000-0000-0000-0000000007f8,00000000-0000-0000-0000-000000000410,00000000-0000-0000-0000-000000000067,2026-01-17T16:03:09.629482+00:00,2026-01-17T23:45:09.629482+00:00,7.7,19.1,2026-01-18T19:51:09.629482+00:00,normal,True
00000000-0000-0000-0000-0000000007f9,00000000-0000-0000-0000-000000000411,00000000-0000-0000-0000-000000000064,2026-01-17T17:10:25.327838+00:00,2026-01-17T20:22:25.327838+00:00,3.2,13.3,2026-01-18T10:40:25.327838+00:00,low,True
00000000-0000-0000-0000-0000000007fa,00000000-0000-0000-0000-000000000412,00000000-0000-0000-0000-000000000064,2026-01-17T18:42:10.779940+00:00,2026-01-17T16:42:10.779940+00:00,-2.0,8.5,2026-01-18T02:12:10.779940+00:00,normal,True
00000000-0000-0000-0000-0000000007fb,00000000-0000-0000-0000-000000000413,00000000-0000-0000-0000-000000000064,2026-01-17T19:36:41.443202+00:00,2026-01-17T22:00:41.443202+00:00,2.4,14.0,2026-01-18T13:00:41.443202+00:00,critical,True
00000000-0000-0000-0000-0000000007fc,00000000-0000-0000-0000-000000000414,00000000-0000-0000-0000-000000000064,2026-01-17T20:49:06.484189+00:00,2026-01-17T23:13:06.484189+00:00,2.4,15.3,2026-01-18T15:31:06.484189+00:00,normal,True
00000000-0000-0000-0000-0000000007fd,00000000-0000-0000-0000-000000000415,00000000-0000-0000-0000-000000000065,2026-01-17T23:23:38.845981+00:00,2026-01-18T02:23:38.845981+00:00,3.0,5.6,2026-01-18T08:59:38.845981+00:00,critical,True
00000000-0000-0000-0000-0000000007fe,00000000-0000-0000-0000-000000000416,00000000-0000-0000-0000-000000000064,2026-01-18T00:26:19.270545+00:00,2026-01-18T04:08:19.270545+00:00,3.7,14.4,2026-01-18T19:32:19.270545+00:00,low,True
00000000-0000-0000-0000-0000000007ff,00000000-0000-0000-0000-000000000417,00000000-0000-0000-0000-000000000069,2026-01-18T01:06:16.592586+00:00,2026-01-18T01:06:16.592586+00:00,0.0,4.7,2026-01-18T06:48:16.592586+00:00,normal,True
00000000-0000-0000-0000-000000000800,00000000-0000-0000-0000-000000000418,00000000-0000-0000-0000-000000000067,2026-01-18T03:56:49.178794+00:00,2026-01-18T03:56:49.178794+00:00,0.0,19.8,2026-01-19T00:44:49.178794+00:00,low,True
00000000-0000-0000-0000-000000000801,00000000-0000-0000-0000-000000000419,00000000-0000-0000-0000-000000000069,2026-01-18T06:20:47.261326+00:00,2026-01-18T15:50:47.261326+00:00,9.5,9.2,2026-01-19T02:02:47.261326+00:00,normal,True
00000000-0000-0000-0000-000000000802,00000000-0000-0000-0000-00000000041a,00000000-0000-0000-0000-000000000067,2026-01-18T07:26:40.193310+00:00,2026-01-18T19:02:40.193310+00:00,11.6,9.5,2026-01-19T05:32:40.193310+00:00,high,True
00000000-0000-0000-0000-000000000803,00000000-0000-0000-0000-00000000041b,00000000-0000-0000-0000-000000000067,2026-01-18T08:10:24.321206+00:00,2026-01-18T11:46:24.321206+00:00,3.6,19.2,2026-01-19T07:58:24.321206+00:00,normal,True
00000000-0000-0000-0000-000000000804,00000000-0000-0000-0000-00000000041c,00000000-0000-0000-0000-000000000067,2026-01-18T10:31:04.748613+00:00,2026-01-18T10:31:04.748613+00:00,0.0,20.7,2026-01-19T08:13:04.748613+00:00,normal,True
00000000-0000-0000-0000-000000000805,00000000-0000-0000-0000-00000000041d,00000000-0000-0000-0000-000000000067,2026-01-18T11:52:06.121854+00:00,2026-01-18T11:52:06.121854+00:00,0.0,19.6,2026-01-19T08:28:06.121854+00:00,low,True
00000000-0000-0000-0000-000000000806,00000000-0000-0000-0000-00000000041e,00000000-0000-0000-0000-000000000069,2026-01-18T13:13:52.843714+00:00,2026-01-18T13:13:52.843714+00:00,0.0,14.7,2026-01-19T04:55:52.843714+00:00,normal,True
00000000-0000-0000-0000-000000000807,00000000-0000-0000-0000-00000000041f,00000000-0000-0000-0000-000000000067,2026-01-18T16:10:10.041414+00:00,2026-01-18T16:10:10.041414+00:00,0.0,13.6,2026-01-19T06:46:10.041414+00:00,high,True
00000000-0000-0000-0000-000000000808,00000000-0000-0000-0000-000000000420,00000000-0000-0000-0000-000000000067,2026-01-18T17:20:22.522048+00:00,2026-01-19T01:20:22.522048+00:00,8.0,20.8,2026-01-19T23:08:22.522048+00:00,normal,True
00000000-0000-0000-0000-000000000809,00000000-0000-0000-0000-000000000421,00000000-0000-0000-0000-000000000067,2026-01-18T18:47:05.218791+00:00,2026-01-18T21:29:05.218791+00:00,2.7,15.1,2026-01-19T13:35:05.218791+00:00,normal,True
00000000-0000-0000-0000-00000000080a,00000000-0000-0000-0000-000000000422,00000000-0000-0000-0000-000000000067,2026-01-18T19:32:13.854654+00:00,2026-01-18T18:32:13.854654+00:00,-1.0,21.0,2026-01-19T16:32:13.854654+00:00,normal,True
