timestamp,temperature_c,wind_speed_knots,precipitation_mm,visibility_km,weather_condition,operational_impact,synthetic
2026-01-15T00:00:00+00:00,24.7,8.2,0.0,10.0,clear,0.0,True
2026-01-15T01:00:00+00:00,25.6,35.1,25.1,1.1,thunderstorm,0.85,True
2026-01-15T02:00:00+00:00,25.1,13.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T03:00:00+00:00,24.8,7.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T04:00:00+00:00,25.4,18.7,6.3,6.8,rain,0.2,True
2026-01-15T05:00:00+00:00,25.2,6.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T06:00:00+00:00,26.0,10.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T07:00:00+00:00,27.2,6.3,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T08:00:00+00:00,26.8,20.2,7.7,7.3,rain,0.2,True
2026-01-15T09:00:00+00:00,27.1,18.2,3.3,6.3,rain,0.2,True
2026-01-15T10:00:00+00:00,28.4,28.2,20.6,2.2,thunderstorm,0.85,True
2026-01-15T11:00:00+00:00,30.7,11.9,0.0,10.0,clear,0.0,True
2026-01-15T12:00:00+00:00,31.2,14.1,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T13:00:00+00:00,31.8,15.6,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T14:00:00+00:00,32.1,15.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T15:00:00+00:00,32.2,10.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T16:00:00+00:00,32.3,15.3,0.0,10.0,clear,0.0,True
2026-01-15T17:00:00+00:00,31.3,14.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T18:00:00+00:00,30.5,26.2,2.7,5.9,rain,0.2,True
2026-01-15T19:00:00+00:00,30.0,14.2,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T20:00:00+00:00,29.2,28.5,15.1,3.9,squall,0.5,True
