crane_id,crane_code,name,crane_type,handling_rate_containers_per_h,current_berth_id,status,synthetic
00000000-0000-0000-0000-0000000000c8,CR-01,STS Crane 01,Super Post-Panamax,35.0,00000000-0000-0000-0000-000000000064,available,True
00000000-0000-0000-0000-0000000000c9,CR-02,STS Crane 02,Super Post-Panamax,32.0,00000000-0000-0000-0000-000000000064,available,True
00000000-0000-0000-0000-0000000000ca,CR-03,STS Crane 03,Post-Panamax,30.0,00000000-0000-0000-0000-000000000065,available,True
00000000-0000-0000-0000-0000000000cb,CR-04,STS Crane 04,Post-Panamax,28.0,00000000-0000-0000-0000-000000000065,available,True
00000000-0000-0000-0000-0000000000cc,CR-05,STS Crane 05,Panamax,26.0,00000000-0000-0000-0000-000000000066,available,True
00000000-0000-0000-0000-0000000000cd,CR-06,STS Crane 06,Super Post-Panamax,36.0,00000000-0000-0000-0000-000000000067,available,True
00000000-0000-0000-0000-0000000000ce,CR-07,STS Crane 07,Super Post-Panamax,34.0,00000000-0000-0000-0000-000000000067,available,True
00000000-0000-0000-0000-0000000000cf,CR-08,STS Crane 08,Feeder STS,24.0,00000000-0000-0000-0000-000000000068,available,True
00000000-0000-0000-0000-0000000000d0,CR-09,STS Crane 09,Post-Panamax,30.0,00000000-0000-0000-0000-000000000069,available,True
00000000-0000-0000-0000-0000000000d1,CR-10,STS Crane 10,Post-Panamax,30.0,00000000-0000-0000-0000-000000000069,available,True
