schedule_id,vessel_id,planned_berth_id,scheduled_arrival,expected_arrival,arrival_deviation_h,expected_handling_duration_h,expected_departure,priority,synthetic
00000000-0000-0000-0000-0000000007d0,00000000-0000-0000-0000-0000000003e8,00000000-0000-0000-0000-000000000069,2026-01-15T05:42:49.186850+00:00,2026-01-15T07:24:49.186850+00:00,1.7,5.6,2026-01-15T14:00:49.186850+00:00,critical,True
00000000-0000-0000-0000-0000000007d1,00000000-0000-0000-0000-0000000003e9,00000000-0000-0000-0000-000000000067,2026-01-15T07:20:21.152316+00:00,2026-01-15T07:20:21.152316+00:00,0.0,21.7,2026-01-16T06:02:21.152316+00:00,high,True
00000000-0000-0000-0000-0000000007d2,00000000-0000-0000-0000-0000000003ea,00000000-0000-0000-0000-000000000067,2026-01-15T10:50:33.901731+00:00,2026-01-15T14:50:33.901731+00:00,4.0,19.8,2026-01-16T11:38:33.901731+00:00,normal,True
00000000-0000-0000-0000-0000000007d3,00000000-0000-0000-0000-0000000003eb,00000000-0000-0000-0000-000000000067,2026-01-15T14:34:16.735064+00:00,2026-01-15T17:46:16.735064+00:00,3.2,13.1,2026-01-16T07:52:16.735064+00:00,normal,True
00000000-0000-0000-0000-0000000007d4,00000000-0000-0000-0000-0000000003ec,00000000-0000-0000-0000-000000000067,2026-01-15T17:26:27.582619+00:00,2026-01-16T05:08:27.582619+00:00,11.7,15.2,2026-01-16T21:20:27.582619+00:00,high,True
00000000-0000-0000-0000-0000000007d5,00000000-0000-0000-0000-0000000003ed,00000000-0000-0000-0000-000000000067,2026-01-15T20:49:13.573698+00:00,2026-01-15T22:37:13.573698+00:00,1.8,21.8,2026-01-16T21:25:13.573698+00:00,high,True
00000000-0000-0000-0000-0000000007d6,00000000-0000-0000-0000-0000000003ee,00000000-0000-0000-0000-000000000066,2026-01-15T23:00:24.950720+00:00,2026-01-15T21:06:24.950720+00:00,-1.9,4.2,2026-01-16T02:18:24.950720+00:00,low,True
00000000-0000-0000-0000-0000000007d7,00000000-0000-0000-0000-0000000003ef,00000000-0000-0000-0000-000000000067,2026-01-16T02:44:22.192215+00:00,2026-01-16T00:32:22.192215+00:00,-2.2,20.7,2026-01-16T22:14:22.192215+00:00,high,True
00000000-0000-0000-0000-0000000007d8,00000000-0000-0000-0000-0000000003f0,00000000-0000-0000-0000-000000000067,2026-01-16T06:00:19.964490+00:00,2026-01-16T04:18:19.964490+00:00,-1.7,15.2,2026-01-16T20:30:19.964490+00:00,normal,True
00000000-0000-0000-0000-0000000007d9,00000000-0000-0000-0000-0000000003f1,00000000-0000-0000-0000-000000000064,2026-01-16T08:01:21.473996+00:00,2026-01-16T08:01:21.473996+00:00,0.0,8.3,2026-01-16T17:19:21.473996+00:00,normal,True
00000000-0000-0000-0000-0000000007da,00000000-0000-0000-0000-0000000003f2,00000000-0000-0000-0000-000000000064,2026-01-16T11:26:11.825181+00:00,2026-01-16T11:26:11.825181+00:00,0.0,3.4,2026-01-16T15:50:11.825181+00:00,high,True
00000000-0000-0000-0000-0000000007db,00000000-0000-0000-0000-0000000003f3,00000000-0000-0000-0000-000000000067,2026-01-16T13:40:59.339052+00:00,2026-01-16T13:40:59.339052+00:00,0.0,13.4,2026-01-17T04:04:59.339052+00:00,high,True
00000000-0000-0000-0000-0000000007dc,00000000-0000-0000-0000-0000000003f4,00000000-0000-0000-0000-000000000069,2026-01-16T17:01:11.045599+00:00,2026-01-16T20:43:11.045599+00:00,3.7,10.0,2026-01-17T07:43:11.045599+00:00,normal,True
00000000-0000-0000-0000-0000000007dd,00000000-0000-0000-0000-0000000003f5,00000000-0000-0000-0000-000000000069,2026-01-16T17:57:20.055113+00:00,2026-01-16T16:09:20.055113+00:00,-1.8,7.8,2026-01-17T00:57:20.055113+00:00,high,True
00000000-0000-0000-0000-0000000007de,00000000-0000-0000-0000-0000000003f6,00000000-0000-0000-0000-000000000064,2026-01-16T21:33:24.606080+00:00,2026-01-17T11:21:24.606080+00:00,13.8,9.4,2026-01-17T21:45:24.606080+00:00,normal,True
00000000-0000-0000-0000-0000000007df,00000000-0000-0000-0000-0000000003f7,00000000-0000-0000-0000-000000000067,2026-01-17T00:32:11.641061+00:00,2026-01-17T01:50:11.641061+00:00,1.3,4.7,2026-01-17T07:32:11.641061+00:00,high,True
00000000-0000-0000-0000-0000000007e0,00000000-0000-0000-0000-0000000003f8,00000000-0000-0000-0000-000000000067,2026-01-17T01:29:53.755460+00:00,2026-01-16T23:47:53.755460+00:00,-1.7,21.4,2026-01-17T22:11:53.755460+00:00,normal,True
00000000-0000-0000-0000-0000000007e1,00000000-0000-0000-0000-0000000003f9,00000000-0000-0000-0000-000000000067,2026-01-17T03:50:31.260392+00:00,2026-01-17T11:20:31.260392+00:00,7.5,3.8,2026-01-17T16:08:31.260392+00:00,normal,True
00000000-0000-0000-0000-0000000007e2,00000000-0000-0000-0000-0000000003fa,00000000-0000-0000-0000-000000000067,2026-01-17T05:32:48.416487+00:00,2026-01-17T04:08:48.416487+00:00,-1.4,8.8,2026-01-17T13:56:48.416487+00:00,normal,True
00000000-0000-0000-0000-0000000007e3,00000000-0000-0000-0000-0000000003fb,00000000-0000-0000-0000-000000000064,2026-01-17T06:06:55.442621+00:00,2026-01-17T11:30:55.442621+00:00,5.4,4.2,2026-01-17T16:42:55.442621+00:00,critical,True
00000000-0000-0000-0000-0000000007e4,00000000-0000-0000-0000-0000000003fc,00000000-0000-0000-0000-000000000065,2026-01-17T08:06:49.688762+00:00,2026-01-17T05:54:49.688762+00:00,-2.2,3.7,2026-01-17T10:36:49.688762+00:00,high,True
