timestamp,temperature_c,wind_speed_knots,precipitation_mm,visibility_km,weather_condition,operational_impact,synthetic
2026-01-15T00:00:00+00:00,25.6,10.0,0.0,10.0,clear,0.0,True
2026-01-15T01:00:00+00:00,25.0,11.7,0.0,10.0,clear,0.0,True
2026-01-15T02:00:00+00:00,24.7,7.8,0.0,10.0,clear,0.0,True
2026-01-15T03:00:00+00:00,25.0,10.8,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T04:00:00+00:00,24.4,6.6,0.0,10.0,clear,0.0,True
2026-01-15T05:00:00+00:00,24.9,9.7,0.0,10.0,clear,0.0,True
2026-01-15T06:00:00+00:00,26.4,11.0,0.0,10.0,clear,0.0,True
2026-01-15T07:00:00+00:00,26.0,10.6,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T08:00:00+00:00,26.4,19.8,3.1,7.2,rain,0.2,True
2026-01-15T09:00:00+00:00,28.3,7.1,0.0,10.0,clear,0.0,True
2026-01-15T10:00:00+00:00,28.3,9.4,0.0,10.0,clear,0.0,True
2026-01-15T11:00:00+00:00,29.1,7.3,0.0,10.0,clear,0.0,True
2026-01-15T12:00:00+00:00,29.8,19.6,3.1,5.0,rain,0.2,True
2026-01-15T13:00:00+00:00,31.4,11.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T14:00:00+00:00,30.5,30.9,42.3,2.2,thunderstorm,0.85,True
2026-01-15T15:00:00+00:00,31.7,13.1,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T16:00:00+00:00,31.0,10.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T17:00:00+00:00,30.1,16.2,0.0,10.0,clear,0.0,True
2026-01-15T18:00:00+00:00,31.0,14.8,0.0,10.0,clear,0.0,True
2026-01-15T19:00:00+00:00,30.4,11.6,0.0,10.0,clear,0.0,True
2026-01-15T20:00:00+00:00,29.6,15.5,0.0,10.0,clear,0.0,True
2026-01-15T21:00:00+00:00,28.1,13.4,0.0,10.0,clear,0.0,True
2026-01-15T22:00:00+00:00,26.7,10.3,0.0,10.0,partly_cloudy,0.0,True
2026-01-15T23:00:00+00:00,26.9,12.1,0.0,10.0,clear,0.0,True
2026-01-16T00:00:00+00:00,25.1,13.0,0.0,10.0,clear,0.0,True
2026-01-16T01:00:00+00:00,24.0,9.5,0.0,10.0,clear,0.0,True
2026-01-16T02:00:00+00:00,24.5,9.6,0.0,10.0,clear,0.0,True
2026-01-16T03:00:00+00:00,23.9,6.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T04:00:00+00:00,25.2,6.2,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T05:00:00+00:00,24.5,10.1,0.0,10.0,clear,0.0,True
2026-01-16T06:00:00+00:00,26.4,10.0,0.0,10.0,clear,0.0,True
2026-01-16T07:00:00+00:00,26.9,5.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T08:00:00+00:00,27.0,10.0,0.0,10.0,clear,0.0,True
2026-01-16T09:00:00+00:00,28.9,12.1,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T10:00:00+00:00,29.3,12.0,0.0,10.0,clear,0.0,True
2026-01-16T11:00:00+00:00,30.7,13.0,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T12:00:00+00:00,30.4,14.0,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T13:00:00+00:00,30.1,9.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T14:00:00+00:00,31.5,10.7,0.0,10.0,clear,0.0,True
2026-01-16T15:00:00+00:00,30.8,14.0,0.0,10.0,clear,0.0,True
2026-01-16T16:00:00+00:00,30.9,16.0,0.0,10.0,clear,0.0,True
2026-01-16T17:00:00+00:00,30.9,13.2,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T18:00:00+00:00,30.6,14.1,0.0,10.0,clear,0.0,True
2026-01-16T19:00:00+00:00,29.5,13.0,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T20:00:00+00:00,28.7,15.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T21:00:00+00:00,27.6,13.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-16T22:00:00+00:00,27.5,36.6,34.9,1.3,thunderstorm,0.85,True
2026-01-16T23:00:00+00:00,26.5,11.0,0.0,10.0,clear,0.0,True
2026-01-17T00:00:00+00:00,24.7,13.1,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T01:00:00+00:00,25.2,29.1,15.7,2.7,squall,0.5,True
2026-01-17T02:00:00+00:00,23.7,9.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T03:00:00+00:00,23.7,7.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T04:00:00+00:00,24.1,24.0,11.0,4.0,squall,0.5,True
2026-01-17T05:00:00+00:00,25.9,7.6,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T06:00:00+00:00,26.2,5.9,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T07:00:00+00:00,26.1,11.6,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T08:00:00+00:00,26.8,7.5,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T09:00:00+00:00,28.6,11.1,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T10:00:00+00:00,28.2,9.8,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T11:00:00+00:00,29.0,12.7,0.0,10.0,clear,0.0,True
2026-01-17T12:00:00+00:00,30.4,13.9,0.0,10.0,clear,0.0,True
2026-01-17T13:00:00+00:00,32.0,11.3,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T14:00:00+00:00,31.1,9.8,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T15:00:00+00:00,32.3,14.3,0.0,10.0,clear,0.0,True
2026-01-17T16:00:00+00:00,31.3,13.7,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T17:00:00+00:00,31.0,16.4,0.0,10.0,partly_cloudy,0.0,True
2026-01-17T18:00:00+00:00,29.7,16.1,0.0,10.0,partly_cloudy,0.0,True
