container_id,vessel_id,container_size_type,weight_mt,container_status,destination_zone_id,priority,handling_requirement,synthetic
SYN-CONT-000001,00000000-0000-0000-0000-0000000003e8,40GP,16.6,inbound,00000000-0000-0000-0000-00000000012f,critical,hazardous,True
SYN-CONT-000002,00000000-0000-0000-0000-0000000003e8,40HC,30.3,inbound,00000000-0000-0000-0000-00000000012e,critical,hazardous,True
SYN-CONT-000003,00000000-0000-0000-0000-0000000003e8,20GP,29.6,inbound,00000000-0000-0000-0000-00000000012c,critical,hazardous,True
SYN-CONT-000004,00000000-0000-0000-0000-0000000003e8,40GP,14.0,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000005,00000000-0000-0000-0000-0000000003e8,40GP,11.9,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000006,00000000-0000-0000-0000-0000000003e8,40GP,17.2,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000007,00000000-0000-0000-0000-0000000003e8,40RF,14.6,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000008,00000000-0000-0000-0000-0000000003e8,40HC,23.8,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000009,00000000-0000-0000-0000-0000000003e8,20GP,28.8,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000010,00000000-0000-0000-0000-0000000003e8,40GP,10.6,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000011,00000000-0000-0000-0000-0000000003e8,40GP,26.6,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000012,00000000-0000-0000-0000-0000000003e8,20GP,25.8,inbound,00000000-0000-0000-0000-000000000130,critical,standard,True
SYN-CONT-000013,00000000-0000-0000-0000-0000000003e8,40HC,10.8,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000014,00000000-0000-0000-0000-0000000003e8,40HC,29.2,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000015,00000000-0000-0000-0000-0000000003e8,40RF,17.8,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000016,00000000-0000-0000-0000-0000000003e8,20GP,24.5,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000017,00000000-0000-0000-0000-0000000003e8,40HC,10.1,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000018,00000000-0000-0000-0000-0000000003e8,20GP,21.0,inbound,00000000-0000-0000-0000-00000000012d,critical,standard,True
SYN-CONT-000019,00000000-0000-0000-0000-0000000003e8,40RF,19.7,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
